X,Y,Debris Levels,Date
-140.1468,36.0135,3,27/09/2009
-148.8,31.0667,3,26/07/2009
-139.7735,35.9262,3,27/09/2009
-155.8267,33.9533,3,24/08/2009
-152.5333,35.8667,3,25/08/2009
-153.5667,29.55,3,29/07/2010
-151.3333,27.8333,3,30/07/2010
-176.4903,34.4268,3,07/12/2009
-154.8833,33.5167,3,08/07/2010
-140.8297,36.074,3,27/09/2009
-153.1667,35.1167,3,08/01/2010
-176.28,30.25,3,26/06/2012
-176.4467,30.2152,3,26/06/2012
-142.0756,34.679,3,02/11/2008
-146.6167,36.6333,3,08/03/2010
-149.95,29.9667,3,31/07/2010
-151.1729,37.184,3,08/12/2012
-174.1443,31.1021,3,27/06/2012
-178.5613,30.0095,3,25/06/2012
-178.41,30.04,3,26/06/2012
-148.6,37.1833,3,08/10/2010
-156.3167,30.5063,3,08/08/2012
-139.9853,35.9848,3,27/09/2009
-172.3667,30.546,3,28/06/2012
-146.0333,37.3833,3,29/07/2011
-154.5167,35.45,3,08/04/2010
-156.0402,33.9758,3,29/07/2011
-154.25,33.3667,3,08/06/2010
-153.2667,35.2167,3,08/08/2010
-156.0684,31.6334,3,22/08/2012
-144.8449,36.6822,3,22/09/2007
-173.469,31.2573,3,27/06/2012
-156.0833,29.65,3,08/01/2010
-151.5,36.2167,3,08/09/2010
-153.2667,35.2167,3,08/08/2010
-162.95,40.1167,3,30/07/2011
-151.1167,34.9333,3,23/07/2009
-151.3333,33.9833,3,27/07/2011
-139.3993,35.8875,3,13/02/2008
-152.7967,32.3608,3,08/07/2010
-154.77,30.9867,3,19/08/2012
-152.4833,37.5417,3,08/01/2011
-144.2033,35.3033,3,25/08/2012
-156.675,37.4767,3,31/07/2011
-137.1667,36.45,3,25/05/2009
-144.916,33.541,3,22/05/2009
-173.2722,31.3837,3,27/06/2012
-151.5393,40.5463,3,17/07/2011
-149.5742,37.8873,3,31/07/2011
-139.45,33.7167,3,09/08/2011
-153.15,30.8,3,29/07/2010
-153.2645,36.1852,3,08/12/2012
-146.6097,41.2205,3,14/08/2012
-151.0167,32.7,3,30/07/2010
-156.2833,27.2333,3,27/07/2010
-151.5167,34.5833,3,27/07/2011
-147.5733,39.7213,3,13/08/2012
-153.8981,33.0571,3,23/08/2012
-146.6683,34.3983,3,24/08/2012
-148.9833,36.55,3,08/02/2010
-156.7667,31.8833,3,08/09/2012
-148.5395,36.27,3,08/09/2009
-149.31,35.775,3,08/06/2011
-147.0333,36.1167,3,24/07/2009
-146.3617,34.765,3,24/08/2012
-142.1833,38.5667,3,14/08/2012
-146.9,30.8333,3,21/05/2009
-148.9783,31.9917,3,22/08/2012
-142.9,36.1,3,30/07/2011
-150.9667,32.4,3,27/07/2011
-149.2467,31.49,3,22/08/2012
-154.3833,32.0333,3,08/09/2012
-142.9333,36.25,3,23/05/2009
-155.3667,29.05,3,28/07/2010
-147.61,33.2733,3,23/08/2012
-150.44,30.9017,3,21/08/2012
-176.1427,30.2856,3,26/06/2012
-154.145,32.9783,3,23/08/2012
-150.885,30.6667,3,21/08/2012
-151.7833,36.1,3,08/09/2010
-142.15,36.1333,3,28/08/2009
-155.274,36.5049,3,30/07/2011
-144.8167,36.7833,3,13/08/2012
-148.0717,32.8967,3,23/08/2012
-149.004,34.2513,3,08/11/2012
-151.5667,33.05,3,08/10/2012
-146.8333,35.6333,3,08/12/2012
