X,Y,Name,description,Debris Levels,Wind Speed,Wind Direction,Long,Lat,Debris Categories,Date,Boat,Field_1
-156.599999999761,24.5166666668133,Bravo Zulu,,No debris,20,100,-156.6,24.516667,,8/5/2012,Bravo Zulu,Bravo Zulu
-154.566666666245,27.3333333329617,Kinetic,,No debris,14,090,-154.566667,27.333333,,8/6/2012,Kinetic,Kinetic
-144.899999999593,42.3166666665738,Turicum,,No debris,12,150,-144.9,42.316667,,8/9/2012,Turicum,Turicum
-131.033333333226,47.9833333335723,Double Take,,No debris,6,263,-131.033333,47.983333,,8/11/2012,Double Take,Double Take
-140.166666666452,47.933333333352,Terremoto,,No debris,12,199,-140.166667,47.933333,,8/11/2012,Terremoto,Terremoto
-140.616666666839,44.7499999999303,Incantation,,No debris,9,185,-140.616667,44.75,,8/12/2012,Incantation,Incantation
-135.65,46.3666666669056,Terremoto,,No debris,16,183,-135.65,46.366667,,8/12/2012,Terremoto,Terremoto
-135.216666666692,48.5666666665368,Red Heather,,No debris,16,202,-135.216667,48.566667,,8/12/2012,Red Heather,Red Heather
-132.850000000122,46.8999999997804,Red Sheilla,,No debris,8,250,-132.85,46.9,,8/12/2012,Red Sheilla,Red Sheilla
-139.283333333724,45.7333333333097,Ballymack,,No debris,16,190,-139.283333,45.733333,,8/12/2012,Ballymack,Ballymack
-136.699999999636,46.0500000003026,Incantation,,No debris,13,220,-136.7,46.05,,8/13/2012,Incantation,Incantation
-130.333333333723,48.499999999789,Terremoto,,No debris,19,259,-130.333333,48.5,,8/13/2012,Terremoto,Terremoto
-130.6,48.7000000002366,Red Heather,,No debris,18,283,-130.6,48.7,,8/13/2012,Red Heather,Red Heather
-129.35,47.666666666832,Red Sheilla,,No debris,15,230,-129.35,47.666667,,8/13/2012,Red Sheilla,Red Sheilla
-131.700000000232,47.6000000001208,Turicum,,No debris,22,280,-131.7,47.6,,8/13/2012,Turicum,Turicum
-136.083333333172,46.5666666666504,Ballymack,,No debris,6,240,-136.083333,46.566667,,8/13/2012,Ballymack,Ballymack
-138.449999999742,43.9166666664615,Family Affair,,No debris,15,280,-138.45,43.916667,,8/13/2012,Family Affair,Family Affair
-136.699999999636,46.0500000003026,Incantation,,No debris,21,342,-136.7,46.05,,8/14/2012,Incantation,Incantation
-138.383333332952,45.1333333332556,Kinetic,,No debris,10,311,-138.383333,45.133333,,8/14/2012,Kinetic,Kinetic
-125.949999999885,48.8000000002432,Red Heather,,No debris,15,290,-125.95,48.8,,8/14/2012,Red Heather,Red Heather
-127.583333333557,48.2000000000615,Turicum,,No debris,24,295,-127.583333,48.2,,8/14/2012,Turicum,Turicum
-135.15,45.2666666665892,Family Affair,,No debris,15,320,-135.15,45.266667,,8/14/2012,Family Affair,Family Affair
-127.883333333215,48.6666666667114,Incantation,,No debris,19,315,-127.883333,48.666667,,8/15/2012,Incantation,Incantation
